38925,6266,5891,5483,1362,1209,1128,853,836,274.7,205.8,196,105.3,102.5,,,34.3,19.3,16.8,2.137,,,,2.137,,,,,
40443,6549,6164,5723,1436,1274,1187,902.4,883.8,291,223.2,206.5,109,108.1,3.1,,37.8,19.8,17,2.867,,,,2.867,,,,,
41991,6835,6440,5964,1511,1337,1242,948.3,931.84,304.5,236.3,217.6,115.1,115.1,2,,37.4,22.3,22.3,2.613,,,,2.613,,,,,
43569,7126,6722,6208,1575,1403,1297,1003.3,980.85,319.2,243.3,224.6,120.5,120.5,1.5,,37.5,21.1,21.1,2.46,,,,2.46,,,,,
45184,7428,7013,6459,1650,1471,1357,1052,1027,332,242,242,120,120,3,,40,25,22,2.7,,,,2.7,,,,,
46834,7737,7312,6716,1723,1541,1420,1110.9,1083.4,347.2,265.6,247.4,129,129,5.2,,37.4,21.3,21.3,2.93,,,,2.93,,,,,
48519,8052,7617,6977,1800,1614,1481,1158.6,1127.5,360,284,257,133,127.7,3.5,,32,22,22,3.18,,,,3.18,,,,,
50239,8376,7930,7243,1881,1688,1544,1221.9,1189.6,378.6,286,271,140.34,140.34,8.6,8.6,36,28,21,3.1,,,,3.1,,,,,
51996,8708,8252,7514,1968,1768,1611,1276.9,1241.1,396,322.4,284.1,145.98,145.98,7.7,2.4,45.6,28.7,22.6,2.9,,,,2.9,,,,,
53789,9046,8581,7790,2047,1842,1676,1333,1292.6,414.2,333.5,293.2,152.32,152.32,8,4.3,49.9,26.3,26.3,2.953,,,,2.953,,,,,
55618,9394,8918,8071,2128,1923,1741,1392,1351,432.4,343.5,308.2,160,160,8.6,5.2,49.3,30.8,24.1,3,,,,3,,,,,
57486,9751,9264,8358,2207,2006,1812,1453,1409,449.8,366.2,320.2,167.75,167.75,3.067,4.7,50.6,31.4,24.7,3,,,,3,,,,,
59390,10116,9617,8648,2307,2090,1885,1515,1468,470.9,385.9,332.6,175.36,175.36,4,4.6,54.7,31.8,25,3.453,,,,3.453,,,,,
61332,10486,9978,8944,2398,2173,1950,1576,1528,480.5,388.7,339.7,191.2,182.4,2.5,1.3,52,30.3,24.1,,,,,2.95,,,,,
63314,10870,10349,9244,2491,2264,2024,1639,1589,506.8,412.4,359.2,206.1,196.3,8.9,7.16,57.3,33.6,26.7,3.567,,,,3.567,,,,,
65351,11271,10739,9561,2601,2365,2108,1716,1662,538,438.2,380.7,220,211.5,15.9,14.28,64.2,38,29.9,3.35,,,,3.35,,,,,
67416,11682,11136,9881,2708,2469,2194,1793,1735,563.4,463.4,400.9,237.9,226.4,23.5,21.8,69.7,42.2,32.7,3.89,,,,3.89,,,,,
69525,12100,11544,10207,2820,2575,2281,1872,1809,594.1,490.4,423.6,255.9,243.5,33.6,31.34,75.6,45.3,36.8,4.117,,,,4.117,,,,,
71676,12527,11959,10535,2932,2682,2367,1949,1883,625.4,518.7,446.8,273.9,260.5,42.9,40.31,83,45.6,34.6,4.88,4.03,,,4.03,,,,,
73871,12968,12385,10871,3049,2792,2457,2031,1960,658.2,549.1,470.7,293.1,278.5,53.4,50.7,84,58,44.5,3.67,2.937,,,2.937,,,,,
76111,13419,12824,11215,3174,2909,2551,2116,2040,691.1,577.8,495.8,311.9,296.3,63.8,60.8,95.2,63,48,4.13,4.13,,,3.797,,,,,
78395,13880,13273,11564,3296,3027,2645,2202,2122,725.4,609.1,519.4,331.6,314.6,74.5,71.2,101.7,65.3,51.7,3.96,3.96,,,3.36,,,,,
80725,14353,13734,11919,3425,3148,2743,2291,2206,762.1,642.7,546.3,353.2,335.1,87.6,84,107.2,74.2,57.2,7.12,5.72,,,3.85,,,,,
83102,14839,14209,12284,3562,3279,2847,2385,2295,802.2,680.2,576.6,378.2,358.8,104,99.82,127,83.1,64.5,9.6,7.8,,,5.92,,,,,
85530,15347,14698,12658,3704,3416,2957,2485,2389,846.2,720.5,609.5,405.7,385,122.2,117.7,136,94.6,73.5,14.7,12.5,,,4.16,2.27,,,,
88005,15861,15200,13035,3851,3554,3066,2586,2484,891.8,761.9,643.5,434.3,412.2,141.7,136.82,147,106.4,83.3,20.7,18.1,,,5.75,3.17,,,,
90526,16388,15711,13419,3999,3696,3177,2688,2580,939,805.2,678.8,464,440.1,162.3,157,159.3,119,92.6,26.9,23.8,,,7.66,2.95,2.95,,,
93105,16939,16244,13814,4149,3854,3302,2798,2683,995,851,705,500,473,184,184,177,132,104,31,31,,,7.465,7.465,4.18,,,
95730,17493,16785,14214,4317,4008,3426,2909,2787,1042,886,740,533,507,210,210,195,148,115,40,40,,,19,11,9.3,,,
98404,18049,17337,14619,4482,4159,3538,3022,2892,1097,929,768,567,541,238,238,214,164,127,48,48,,,26,14,10.7,,,
101137,18639,17907,15031,4652,4327,3663,3136,3000,1153,980,810,603,577,268,268,234,182,140,58,58,,,34,15,15,,,1
103922,19237,18484,15444,4822,4490,3792,3248,3105,1208,1058,879,636,603,299,299,254,200,153,68,68,,,44,19,19,,,2.28
106755,19840,19083,15871,5002,4656,3909,3370,3219,1269,1080,890,675,639,319,319,272,215,167,80,80,,,42,26,19,3.1,,3.1
109651,20472,19693,16300,5182,4830,4046,3491,3332,1330,1168,966.4,712.1,675.2,342.4,333.1,290,229,182,92.5,85.4,2.6,,41.4,24.5,16.6,2.6,,2.6       
112601,21105,20314,16733,5367,5001,4174,3611,3442,1387,1224,1007,743,708,371,360,310,232,232,94,94,2.5,,46.5,28.5,20.5,2.5,,2.5
115606,21757,20948,17166,5548,5182,4303,3728,3552,1439,1271,1043,778.3,736.2,388.2,377.4,321,257,192,102.8,94.2,2.403,,43.9,26.8,16.8,2.37,,2.37
118672,22423,21598,17608,5738,5366,4436,3850,3665,1500,1327,1085,815,770,417,406,342,270,207,112,102,2,,50,31,21,2,,2    
121796,23105,22263,18055,5932,5553,4570,3973,3779,1559,1380,1124,849,801,442,430,352,283,215,118,107,2,,49,30,19,2,,2
124980,23799,22945,18508,6131,5744,4706,4098,3894,1619,1435,1163,883,832,463,448,351,297,216,119,108,2,,50,40,32,2,,2    
128257,24519,23650,18970,6309,5942,4824,4232,4010,1660,1489,1190,915,860,490,475,380,310,235,122,115,7,7,56,35,23,1.667,,1.667
131582,25256,24368,19436,6519,6145,4964,4362,4129,1725,1550,1232,951,894,516,500,397,325,244,138,120,8,8,59,37,23,1.333,,1.333
134963,26004,25099,19903,6729,6348,5099,4488,4243,1785,1606,1269,983,921,542,525,408,334,247,138,125,5,5,57,35,21,3,,3 
138436,26777,25855,20379,6950,6562,5243,4621,4365,1853,1670,1312,1020,955,569,550,425,349,256,144,131,5,5,59,36,21,3,,3
