// Z, conv_fac, ncoh[0], ncoh[1], ncoh[2], ncoh[3], coh[0], coh[1], coh[2], coh[3]
82,344.1,0.182167,1.54661,-0.195973,0.00390772,8.15996,0.418031,-0.35233,0.016466
83,347,0.18986,1.56125,-0.200932,0.00436768,8.17489,0.427916,-0.355068,0.0166601
84,388.5,0.192113,1.57443333333333,-0.205221333333333,0.00475084333333333,8.19177,0.43577,-0.357397333333333,0.0168252666666667
85,389.35,0.194366,1.58761666666667,-0.209510666666667,0.00513400666666667,8.20865,0.443624,-0.359726666666667,0.0169904333333333
86,368.6,0.196619,1.6008,-0.2138,0.00551717,8.22553,0.451478,-0.362056,0.0171556
87,391.05,0.19018675,1.6145025,-0.2177755,0.0058691675,8.238755,0.4583725,-0.36345625,0.017232225
88,391.9,0.1837545,1.628205,-0.221751,0.006221165,8.25198,0.465267,-0.3648565,0.01730885
89,392.75,0.17732225,1.6419075,-0.2257265,0.0065731625,8.265205,0.4721615,-0.36625675,0.017385475
90,385.2,0.17089,1.65561,-0.229702,0.00692516,8.27843,0.479056,-0.367657,0.0174621
91,394.45,0.1395835,1.698595,-0.241903,0.00793786,8.304265,0.478685,-0.3674535,0.0174375
92,395.3,0.108277,1.74158,-0.254104,0.00895056,8.3301,0.478314,-0.36725,0.0174129
93,396.15,0.07357805,1.781935,-0.2651015,0.00984488,8.35592,0.4776995,-0.366903,0.01737755
94,397,0.0388791,1.82229,-0.276099,0.0107392,8.38174,0.477085,-0.366556,0.0173422
