// Pouchou & Pichoir's database of 826 microanalytical measurements on binary compounds
// From ""Electron Probe Quantitation""", Newbury & Heinrich (Eds)
// A,Line,B,Beam Energy,Wgt Frac A,K-ratio A,Take-off
79,72,29,36.6,0.3,0.1717,40
79,72,29,39.7,0.3,0.1689,40
79,12,29,25,0.802,0.762,40
79,12,29,20,0.802,0.761,40
79,12,29,16,0.802,0.751,40
29,0,79,25,0.198,0.235,40
29,0,79,20,0.198,0.245,40
29,0,79,16,0.198,0.252,40
79,12,29,25,0.604,0.537,40
79,12,29,20,0.604,0.53,40
79,12,29,16,0.604,0.518,40
29,0,79,25,0.396,0.447,40
29,0,79,20,0.396,0.463,40
29,0,79,16,0.396,0.472,40
79,12,29,25,0.401,0.338,40
79,12,29,20,0.401,0.334,40
79,12,29,16,0.401,0.323,40
29,0,79,25,0.599,0.643,40
29,0,79,20,0.599,0.655,40
29,0,79,16,0.599,0.67,40
79,12,29,25,0.201,0.155,40
79,12,29,20,0.201,0.153,40
79,12,29,16,0.201,0.147,40
29,0,79,25,0.799,0.827,40
29,0,79,20,0.799,0.835,40
29,0,79,16,0.799,0.845,40
79,72,29,14,0.802,0.742,40
79,72,29,12,0.802,0.745,40
79,72,29,10,0.802,0.756,40
29,0,79,14,0.198,0.257,40
29,0,79,12,0.198,0.264,40
79,72,29,14,0.604,0.511,40
79,72,29,12,0.604,0.514,40
79,72,29,10,0.604,0.523,40
29,0,79,14,0.396,0.476,40
29,0,79,12,0.396,0.494,40
79,72,29,14,0.401,0.314,40
79,72,29,12,0.401,0.316,40
79,72,29,10,0.401,0.322,40
29,0,79,14,0.599,0.675,40
29,0,79,12,0.599,0.694,40
79,72,29,14,0.201,0.143,40
79,72,29,12,0.201,0.147,40
29,0,79,14,0.799,0.845,40
29,0,79,12,0.799,0.853,40
79,12,47,15,0.2243,0.203,52.5
79,12,47,20,0.2243,0.203,52.5
79,12,47,30,0.2243,0.211,52.5
79,12,47,40,0.2243,0.216,52.5
79,12,47,48.5,0.2243,0.214,52.5
79,12,47,15,0.4003,0.368,52.5
79,12,47,20,0.4003,0.366,52.5
79,12,47,30,0.4003,0.376,52.5
79,12,47,40,0.4003,0.384,52.5
79,12,47,48.5,0.4003,0.385,52.5
79,12,47,15,0.6005,0.566,52.5
79,12,47,20,0.6005,0.573,52.5
79,12,47,30,0.6005,0.58,52.5
79,12,47,40,0.6005,0.584,52.5
79,12,47,48.5,0.6005,0.584,52.5
79,12,47,15,0.8005,0.789,52.5
79,12,47,20,0.8005,0.783,52.5
79,12,47,30,0.8005,0.783,52.5
79,12,47,40,0.8005,0.79,52.5
79,12,47,48.5,0.8005,0.788,52.5
79,72,47,10,0.2243,0.201,52.5
79,72,47,20,0.2243,0.197,52.5
79,72,47,30,0.2243,0.192,52.5
79,72,47,40,0.2243,0.185,52.5
79,72,47,48.5,0.2243,0.181,52.5
79,72,47,10,0.4003,0.362,52.5
79,72,47,20,0.4003,0.364,52.5
79,72,47,30,0.4003,0.351,52.5
79,72,47,40,0.4003,0.344,52.5
79,72,47,48.5,0.4003,0.337,52.5
79,72,47,10,0.6005,0.559,52.5
79,72,47,20,0.6005,0.551,52.5
79,72,47,30,0.6005,0.547,52.5
79,72,47,40,0.6005,0.541,52.5
79,72,47,48.5,0.6005,0.537,52.5
79,72,47,10,0.8005,0.771,52.5
79,72,47,20,0.8005,0.764,52.5
79,72,47,30,0.8005,0.766,52.5
79,72,47,40,0.8005,0.761,52.5
79,72,47,48.5,0.8005,0.755,52.5
47,12,79,5,0.1996,0.223,52.5
47,12,79,10,0.1996,0.191,52.5
47,12,79,20,0.1996,0.144,52.5
47,12,79,30,0.1996,0.109,52.5
47,12,79,40,0.1996,0.0887,52.5
47,12,79,48.5,0.1996,0.0795,52.5
47,12,79,5,0.3992,0.436,52.6
47,12,79,10,0.3992,0.386,52.5
47,12,79,20,0.3992,0.309,52.5
47,12,79,30,0.3992,0.245,52.5
47,12,79,40,0.3992,0.208,52.5
47,12,79,48.5,0.3992,0.181,52.5
47,12,79,5,0.5993,0.624,52.5
47,12,79,10,0.5993,0.584,52.5
47,12,79,20,0.5993,0.504,52.5
47,12,79,30,0.5993,0.426,52.5
47,12,79,40,0.5993,0.375,52.5
47,12,79,48.5,0.5993,0.339,52.5
47,12,79,5,0.7758,0.807,52.5
47,12,79,10,0.7758,0.764,52.5
47,12,79,20,0.7758,0.706,52.5
47,12,79,30,0.7758,0.636,52.5
47,12,79,40,0.7758,0.586,52.5
47,12,79,48.5,0.7758,0.542,52.5
29,0,79,15,0.1983,0.254,52.5
29,0,79,20,0.1983,0.247,52.5
29,0,79,25,0.1983,0.24,52.5
29,0,79,30,0.1983,0.235,52.5
29,0,79,40,0.1983,0.218,52.5
29,0,79,48.5,0.1983,0.218,52.5
29,0,79,15,0.3964,0.48,52.5
29,0,79,20,0.3964,0.464,52.5
29,0,79,25,0.3964,0.453,52.5
29,0,79,30,0.3964,0.443,52.5
29,0,79,40,0.3964,0.416,52.5
29,0,79,48.5,0.3964,0.414,52.5
29,0,79,15,0.5992,0.676,52.5
29,0,79,20,0.5992,0.663,52.5
29,0,79,25,0.5992,0.651,52.5
29,0,79,30,0.5992,0.644,52.5
29,0,79,40,0.5992,0.616,52.5
29,0,79,48.5,0.5992,0.604,52.5
29,0,79,15,0.7985,0.851,52.5
29,0,79,20,0.7985,0.841,52.5
29,0,79,25,0.7985,0.834,52.5
29,0,79,30,0.7985,0.826,52.5
29,0,79,40,0.7985,0.815,52.5
29,0,79,48.5,0.7985,0.8,52.5
79,12,29,15,0.2012,0.145,52.5
79,12,29,20,0.2012,0.158,52.5
79,12,29,25,0.2012,0.154,52.5
79,12,29,30,0.2012,0.157,52.5
79,12,29,48.5,0.2012,0.152,52.5
79,12,29,15,0.401,0.312,52.5
79,12,29,20,0.401,0.333,52.5
79,12,29,25,0.401,0.331,52.5
79,12,29,30,0.401,0.331,52.5
79,12,29,48.5,0.401,0.326,52.5
79,12,29,15,0.6036,0.511,52.5
79,12,29,20,0.6036,0.531,52.5
79,12,29,25,0.6036,0.529,52.5
79,12,29,30,0.6036,0.533,52.5
79,12,29,48.5,0.6036,0.521,52.5
79,12,29,15,0.8015,0.74,52.5
79,12,29,20,0.8015,0.752,52.5
79,12,29,25,0.8015,0.745,52.5
79,12,29,30,0.8015,0.754,52.5
79,12,29,35,0.8015,0.758,52.5
79,12,29,40,0.8015,0.751,52.5
79,72,29,10,0.2012,0.154,52.5
79,72,29,20,0.2012,0.14,52.5
79,72,29,30,0.2012,0.122,52.5
79,72,29,40,0.2012,0.11,52.5
79,72,29,10,0.401,0.332,52.5
79,72,29,20,0.401,0.304,52.5
79,72,29,30,0.401,0.275,52.5
79,72,29,40,0.401,0.253,52.5
79,72,29,10,0.6036,0.531,52.5
79,72,29,20,0.6036,0.5,52.5
79,72,29,30,0.6036,0.462,52.5
79,72,29,40,0.6036,0.428,52.5
79,72,29,10,0.8015,0.749,52.5
79,72,29,20,0.8015,0.728,52.5
79,72,29,30,0.8015,0.704,52.5
79,72,29,40,0.8015,0.675,52.5
51,12,83,10,0.6255,0.6255,52.5
51,12,83,15,0.6255,0.5908,52.5
51,12,83,20,0.6255,0.5567,52.5
51,12,83,25,0.6255,0.5268,52.5
51,12,83,30,0.6255,0.499,52.5
51,12,83,10,0.5344,0.5344,52.5
51,12,83,15,0.5344,0.498,52.5
51,12,83,20,0.5344,0.4632,52.5
51,12,83,25,0.5344,0.4335,52.5
51,12,83,30,0.5344,0.4063,52.5
51,12,83,10,0.4602,0.4602,52.5
51,12,83,15,0.4602,0.4242,52.5
51,12,83,20,0.4602,0.3906,52.5
51,12,83,25,0.4602,0.3624,52.5
51,12,83,30,0.4602,0.337,52.5
51,12,83,10,0.313,0.313,52.5
51,12,83,15,0.313,0.2825,52.5
51,12,83,20,0.313,0.2552,52.5
51,12,83,25,0.313,0.233,52.5
51,12,83,30,0.313,0.2136,52.5
51,12,83,10,0.1664,0.1664,52.5
51,12,83,15,0.1664,0.1471,52.5
51,12,83,20,0.1664,0.1305,52.5
51,12,83,25,0.1664,0.1174,52.5
51,12,83,30,0.1664,0.1064,52.5
51,12,83,10,0.1058,0.1058,52.5
51,12,83,15,0.1058,0.0928,52.5
51,12,83,20,0.1058,0.0817,52.5
51,12,83,25,0.1058,0.0731,52.5
51,12,83,30,0.1058,0.0659,52.5
51,12,83,10,0.0502,0.0502,52.5
51,12,83,15,0.0502,0.0437,52.5
51,12,83,20,0.0502,0.0382,52.5
51,12,83,25,0.0502,0.034,52.5
51,12,83,30,0.0502,0.0306,52.5
51,12,83,10,0.0277,0.0277,52.5
51,12,83,15,0.0277,0.024,52.5
51,12,83,20,0.0277,0.021,52.5
92,69,6,10,0.9084,0.8493,52.5
92,69,6,15,0.9084,0.8588,52.5
92,69,6,20,0.9084,0.8648,52.5
92,69,6,25,0.9084,0.8709,52.5
92,69,6,30,0.9084,0.8747,52.5
92,69,6,35,0.9084,0.8746,52.5
92,69,7,10,0.9444,0.9061,52.5
92,69,7,15,0.9444,0.9129,52.5
92,69,7,20,0.9444,0.9179,52.5
92,69,7,25,0.9444,0.9218,52.5
92,69,7,30,0.9444,0.9243,52.5
92,69,7,35,0.9444,0.9259,52.5
92,69,14,10,0.9622,0.9395,52.5
92,69,14,15,0.9622,0.9433,52.5
92,69,14,20,0.9622,0.9471,52.5
92,69,14,25,0.9622,0.9493,52.5
92,69,14,30,0.9622,0.9507,52.5
92,69,14,35,0.9622,0.9521,52.5
92,69,15,10,0.8849,0.8242,52.5
92,69,15,15,0.8849,0.8349,52.5
92,69,15,20,0.8849,0.8432,52.5
92,69,15,25,0.8849,0.8506,52.5
92,69,15,30,0.8849,0.8544,52.5
92,69,15,35,0.8849,0.8592,52.5
92,69,16,10,0.8813,0.8191,52.5
92,69,16,15,0.8813,0.8291,52.5
92,69,16,20,0.8813,0.8394,52.5
92,69,16,25,0.8813,0.8452,52.5
92,69,16,30,0.8813,0.85,52.5
92,69,16,35,0.8813,0.853,52.5
92,69,26,10,0.9624,0.9436,52.5
92,69,26,15,0.9624,0.9478,52.5
92,69,26,20,0.9624,0.9506,52.5
92,69,26,25,0.9624,0.9524,52.5
92,69,26,30,0.9624,0.9538,52.5
92,69,26,35,0.9624,0.9549,52.5
82,12,16,20,0.866,0.807,75
82,12,16,25,0.866,0.809,75
82,12,16,30,0.866,0.813,75
82,12,16,35,0.866,0.818,75
82,12,16,40,0.866,0.826,75
30,0,16,20,0.671,0.62,75
30,0,16,25,0.671,0.626,75
30,0,16,30,0.671,0.628,75
5,0,6,4,0.7981,0.7768,40
5,0,6,6,0.7981,0.7754,40
5,0,6,8,0.7981,0.7471,40
5,0,6,10,0.7981,0.7309,40
5,0,6,12,0.7981,0.7132,40
5,0,6,15,0.7981,0.6853,40
5,0,6,20,0.7981,0.6544,40
5,0,6,25,0.7981,0.6516,40
5,0,6,30,0.7981,0.6574,40
14,0,6,4,0.7005,0.68,40
14,0,6,6,0.7005,0.6798,40
14,0,6,8,0.7005,0.679,40
14,0,6,10,0.7005,0.6787,40
14,0,6,12,0.7005,0.678,40
14,0,6,15,0.7005,0.6762,40
14,0,6,20,0.7005,0.673,40
14,0,6,25,0.7005,0.6682,40
14,0,6,30,0.7005,0.663,40
22,0,6,6,0.816,0.7832,40
22,0,6,8,0.816,0.7862,40
22,0,6,10,0.816,0.7888,40
22,0,6,12,0.816,0.791,40
22,0,6,15,0.816,0.7938,40
22,0,6,20,0.816,0.798,40
22,0,6,25,0.816,0.8012,40
22,0,6,30,0.816,0.8033,40
23,0,6,6,0.84,0.7952,40
23,0,6,8,0.84,0.8013,40
23,0,6,10,0.84,0.8065,40
23,0,6,12,0.84,0.8111,40
23,0,6,15,0.84,0.8162,40
23,0,6,20,0.84,0.822,40
23,0,6,25,0.84,0.8265,40
23,0,6,30,0.84,0.8295,40
24,0,6,8,0.9432,0.9252,40
24,0,6,10,0.9432,0.9257,40
24,0,6,12,0.9432,0.9259,40
24,0,6,15,0.9432,0.9261,40
24,0,6,20,0.9432,0.9265,40
24,0,6,25,0.9432,0.9271,40
24,0,6,30,0.9432,0.9278,40
24,0,6,8,0.909,0.879,40
24,0,6,10,0.909,0.8819,40
24,0,6,12,0.909,0.8842,40
24,0,6,15,0.909,0.8875,40
24,0,6,20,0.909,0.8918,40
24,0,6,25,0.909,0.895,40
24,0,6,30,0.909,0.8972,40
24,0,6,8,0.8666,0.831,40
24,0,6,10,0.8666,0.8322,40
24,0,6,12,0.8666,0.8358,40
24,0,6,15,0.8666,0.8385,40
24,0,6,20,0.8666,0.8422,40
24,0,6,25,0.8666,0.8455,40
24,0,6,30,0.8666,0.8478,40
26,0,6,8,0.9333,0.9172,40
26,0,6,10,0.9333,0.9194,40
26,0,6,12,0.9333,0.9215,40
26,0,6,15,0.9333,0.9239,40
26,0,6,20,0.9333,0.927,40
26,0,6,25,0.9333,0.929,40
26,0,6,30,0.9333,0.9304,40
40,12,6,4,0.9145,0.8981,40
40,12,6,6,0.9145,0.9011,40
40,12,6,8,0.9145,0.9033,40
40,12,6,10,0.9145,0.9055,40
40,12,6,12,0.9145,0.907,40
40,12,6,15,0.9145,0.9088,40
40,12,6,20,0.9145,0.9095,40
40,12,6,25,0.9145,0.91,40
40,12,6,30,0.9145,0.911,40
41,12,6,4,0.9145,0.875,40
41,12,6,6,0.9145,0.8822,40
41,12,6,8,0.9145,0.888,40
41,12,6,10,0.9145,0.893,40
41,12,6,12,0.9145,0.897,40
41,12,6,15,0.9145,0.9022,40
41,12,6,20,0.9145,0.9088,40
41,12,6,25,0.9145,0.9135,40
41,12,6,30,0.9145,0.9175,40
42,12,6,4,0.9442,0.906,40
42,12,6,6,0.9442,0.9128,40
42,12,6,8,0.9442,0.9182,40
42,12,6,10,0.9442,0.9225,40
42,12,6,12,0.9442,0.9264,40
42,12,6,15,0.9442,0.9312,40
42,12,6,20,0.9442,0.9373,40
42,12,6,25,0.9442,0.9418,40
42,12,6,30,0.9442,0.9458,40
73,72,6,4,0.94,0.8765,40
73,72,6,6,0.94,0.8815,40
73,72,6,8,0.94,0.8862,40
73,72,6,10,0.94,0.8905,40
73,72,6,12,0.94,0.8943,40
73,72,6,15,0.94,0.9,40
73,72,6,20,0.94,0.9088,40
73,72,6,25,0.94,0.9162,40
73,72,6,30,0.94,0.922,40
73,12,6,12,0.94,0.882,40
73,12,6,15,0.94,0.8886,40
73,12,6,20,0.94,0.898,40
73,12,6,25,0.94,0.906,40
73,12,6,30,0.94,0.913,40
73,72,6,4,0.97,0.9342,40
73,72,6,6,0.97,0.939,40
73,72,6,8,0.97,0.9428,40
73,72,6,10,0.97,0.9462,40
73,72,6,12,0.97,0.949,40
73,72,6,15,0.97,0.954,40
73,72,6,20,0.97,0.9602,40
73,72,6,25,0.97,0.966,40
73,72,6,30,0.97,0.9702,40
73,12,6,12,0.97,0.9348,40
73,12,6,15,0.97,0.9406,40
73,12,6,20,0.97,0.9453,40
73,12,6,25,0.97,0.9503,40
73,12,6,30,0.97,0.9543,40
74,72,6,4,0.9387,0.856,40
74,72,6,6,0.9387,0.8712,40
74,72,6,8,0.9387,0.8823,40
74,72,6,10,0.9387,0.891,40
74,72,6,12,0.9387,0.8987,40
74,72,6,15,0.9387,0.9081,40
74,72,6,20,0.9387,0.9212,40
74,72,6,25,0.9387,0.9328,40
74,72,6,30,0.9387,0.9428,40
74,12,6,12,0.9387,0.8558,40
74,12,6,15,0.9387,0.8782,40
74,12,6,20,0.9387,0.8975,40
74,12,6,25,0.9387,0.9093,40
74,12,6,30,0.9387,0.9178,40
74,72,6,4,0.97,0.8865,40
74,72,6,6,0.97,0.906,40
74,72,6,8,0.97,0.9178,40
74,72,6,10,0.97,0.9272,40
74,72,6,12,0.97,0.935,40
74,72,6,15,0.97,0.9443,40
74,72,6,20,0.97,0.9568,40
74,72,6,25,0.97,0.9668,40
74,72,6,30,0.97,0.9756,40
74,12,6,12,0.97,0.9153,40
74,12,6,15,0.97,0.929,40
74,12,6,20,0.97,0.9432,40
74,12,6,25,0.97,0.9522,40
74,12,6,30,0.97,0.958,40
13,0,22,7,0.398,0.3853,40
13,0,22,10.5,0.398,0.3543,40
13,0,22,15.7,0.398,0.3008,40
13,0,22,20.8,0.398,0.2585,40
13,0,22,26,0.398,0.2162,40
13,0,22,31.3,0.398,0.187,40
13,0,22,36.4,0.398,0.1579,40
13,0,22,40,0.398,0.1429,40
13,0,28,5.3,0.309,0.2957,40
13,0,28,10.5,0.309,0.2184,40
13,0,28,15.9,0.309,0.1576,40
13,0,28,21.2,0.309,0.1141,40
13,0,28,26.6,0.309,0.0878,40
13,0,28,31.9,0.309,0.0683,40
13,0,28,37.2,0.309,0.057,40
13,0,28,5.3,0.125,0.1246,40
13,0,28,10.5,0.125,0.0848,40
13,0,28,15.9,0.125,0.0585,40
13,0,28,21.2,0.125,0.0405,40
13,0,28,26.6,0.125,0.0307,40
13,0,28,31.9,0.125,0.0233,40
13,0,28,5.3,0.049,0.0473,40
13,0,28,10.5,0.049,0.0315,40
13,0,28,15.9,0.049,0.021,40
29,12,28,2.5,0.565,0.5135,40
29,12,28,5,0.565,0.4487,40
29,12,28,7.6,0.565,0.3876,40
29,12,28,10.2,0.565,0.3303,40
29,12,28,12.6,0.565,0.2823,40
29,12,28,15.3,0.565,0.2419,40
29,12,28,20.5,0.565,0.193,40
29,12,28,25.6,0.565,0.1648,40
29,12,28,30.8,0.565,0.1489,40
29,12,28,35.5,0.565,0.1395,40
29,12,28,40,0.565,0.131,40
29,12,79,5.2,0.7,0.7143,40
29,12,79,10.4,0.7,0.6259,40
29,12,79,15.7,0.7,0.5489,40
29,12,79,20.8,0.7,0.4981,40
29,12,79,26.1,0.7,0.4662,40
29,12,79,31.3,0.7,0.4398,40
29,12,79,36.5,0.7,0.4229,40
29,12,79,39.5,0.7,0.4173,40
29,12,79,5.2,0.492,0.5019,40
29,12,79,10.4,0.492,0.4098,40
29,12,79,15.7,0.492,0.3383,40
29,12,79,20.8,0.492,0.2932,40
29,12,79,26.1,0.492,0.2632,40
29,12,79,31.3,0.492,0.2444,40
29,12,79,36.5,0.492,0.2368,40
29,12,79,39.5,0.492,0.2331,40
22,0,13,15.7,0.602,0.5789,40
22,0,13,20.9,0.602,0.5605,40
22,0,13,26.1,0.602,0.558,40
22,0,13,31.3,0.602,0.5435,40
22,0,13,36.5,0.602,0.5437,40
22,0,13,40,0.602,0.538,40
79,12,29,13,0.3,0.2319,40
79,12,29,15.7,0.3,0.2278,40
79,12,29,20.9,0.3,0.2365,40
79,12,29,26.1,0.3,0.2402,40
79,12,29,31.3,0.3,0.2413,40
79,12,29,36.5,0.3,0.2381,40
79,12,29,39.5,0.3,0.2377,40
79,12,29,13,0.508,0.4174,40
79,12,29,15.7,0.508,0.4142,40
79,12,29,20.9,0.508,0.4285,40
79,12,29,26.1,0.508,0.4348,40
79,12,29,31.3,0.508,0.4337,40
