C
C  Ground state configurations and ionization energies of free atoms of
 23 V   5 M1 3s1/2  2  7.64116E+01  7.20000E+01  6.63000E+01  2.63681E+00  2.20000E+00
 23 V   6 M2 3p1/2  2  5.06437E+01  4.40000E+01  3.72000E+01  4.07132E-01  1.20000E+00
 23 V   7 M3 3p3/2  4  4.97527E+01  4.30000E+01  3.72000E+01  3.81281E-01  1.20000E+00
 23 V   8 M4 3d3/2  3  9.57803E+00  8.00000E+00  3.70000E+00  0.00000E+00  0.00000E+00
 23 V  10 N1 4s1/2  2  6.62524E+00  6.74000E+00  2.44000E+00  0.00000E+00  0.00000E+00
 24 Cr  1 K  1s1/2  2  5.95767E+03  5.99500E+03  5.98900E+03  9.85310E-01  1.02000E+00
 24 Cr  2 L1 2s1/2  2  6.87317E+02  7.02000E+02  6.96000E+02  6.82703E+00  5.20000E+00
 24 Cr  3 L2 2p1/2  2  5.89718E+02  5.89000E+02  5.83800E+02  3.17684E-01  7.60000E-01
 24 Cr  4 L3 2p3/2  4  5.80714E+02  5.80000E+02  5.74310E+02  3.22607E-01  3.20000E-01
 24 Cr  5 M1 3s1/2  2  7.91804E+01  8.00000E+01  7.41000E+01  3.26011E+00  2.30000E+00
 24 Cr  6 M2 3p1/2  2  5.12419E+01  4.90000E+01  4.22000E+01  9.25870E-01  1.20000E+00
 24 Cr  7 M3 3p3/2  4  5.01647E+01  4.80000E+01  4.22000E+01  8.90589E-01  1.20000E+00
 24 Cr  8 M4 3d3/2  4  6.42814E+00  8.25000E+00  3.75000E+00  0.00000E+00  0.00000E+00
 24 Cr  9 M5 3d3/2  1  6.33321E+00  8.25000E+00  3.75000E+00  0.00000E+00  0.00000E+00
 24 Cr 10 N1 4s1/2  1  5.95622E+00  7.50800E+00  3.00800E+00  0.00000E+00  0.00000E+00
 25 Mn  1 K  1s1/2  2  6.51094E+03  6.54400E+03  6.53900E+03  1.06506E+00  1.11000E+00
 25 Mn  2 L1 2s1/2  2  7.66438E+02  7.55000E+02  7.69100E+02  6.72500E+00  6.20000E+00
 25 Mn  3 L2 2p1/2  2  6.62937E+02  6.56000E+02  6.49900E+02  3.56323E-01  9.70000E-01
 25 Mn  4 L3 2p3/2  4  6.52103E+02  6.45000E+02  6.38850E+02  3.62622E-01  3.60000E-01
 25 Mn  5 M1 3s1/2  2  9.25726E+01  8.90000E+01  8.23000E+01  3.38842E+00  2.40000E+00
 25 Mn  6 M2 3p1/2  2  6.20796E+01  5.50000E+01  4.72000E+01  1.07913E+00  1.20000E+00
 25 Mn  7 M3 3p3/2  4  6.07332E+01  5.30000E+01  4.72000E+01  1.03643E+00  1.20000E+00
 25 Mn  8 M4 3d3/2  4  1.18120E+01  9.00000E+00  4.90000E+00  0.00000E+00  0.00000E+00
 25 Mn  9 M5 3d5/2  1  1.16717E+01  9.00000E+00  4.90000E+00  0.00000E+00  0.00000E+00
 25 Mn 10 N1 4s1/2  2  7.24524E+00  7.43400E+00  3.33400E+00  0.00000E+00  0.00000E+00
 26 Fe  1 K  1s1/2  2  7.08348E+03  7.11700E+03  7.11200E+03  1.14653E+00  1.19000E+00
 26 Fe  2 L1 2s1/2  2  8.42941E+02  8.51000E+02  8.44600E+02  7.38040E+00  7.00000E+00
 26 Fe  3 L2 2p1/2  2  7.33523E+02  7.26000E+02  7.19900E+02  4.03494E-01  1.14000E+00
 26 Fe  4 L3 2p3/2  4  7.20583E+02  7.13000E+02  7.06800E+02  4.12073E-01  4.10000E-01
 26 Fe  5 M1 3s1/2  2  1.01006E+02  9.80000E+01  9.13000E+01  3.69582E+00  2.40000E+00
 26 Fe  6 M2 3p1/2  2  6.80366E+01  6.10000E+01  5.27000E+01  1.51344E+00  1.23000E+00
 26 Fe  7 M3 3p3/2  4  6.64089E+01  5.90000E+01  5.27000E+01  1.45593E+00  1.23000E+00
 26 Fe  8 M4 3d3/2  4  1.28713E+01  9.00000E+00  4.26000E+00  0.00000E+00  0.00000E+00
 26 Fe  9 M5 3d5/2  2  1.26933E+01  9.00000E+00  4.26000E+00  0.00000E+00  0.00000E+00
 26 Fe 10 N1 4s1/2  2  7.53487E+00  7.87000E+00  3.13000E+00  0.00000E+00  0.00000E+00
 27 Co  1 K  1s1/2  2  7.68079E+03  7.71500E+03  7.70900E+03  1.23581E+00  1.28000E+00
 27 Co  2 L1 2s1/2  2  9.22952E+02  9.31000E+02  9.25100E+02  7.97138E+00  7.20000E+00
 27 Co  3 L2 2p1/2  2  8.07535E+02  8.00000E+02  7.93200E+02  4.57204E-01  1.13000E+00
 27 Co  4 L3 2p3/2  4  7.92193E+02  7.85000E+02  7.78300E+02  4.68697E-01  4.70000E-01
 27 Co  5 M1 3s1/2  2  1.09698E+02  1.07000E+02  1.01000E+02  3.97332E+00  2.40000E+00
 27 Co  6 M2 3p1/2  2  7.41728E+01  6.80000E+01  5.89000E+01  2.00085E+00  1.25000E+00
 27 Co  7 M3 3p3/2  4  7.22232E+01  6.60000E+01  5.99000E+01  1.92735E+00  1.27000E+00
 27 Co  8 M4 3d3/2  4  1.38990E+01  9.00000E+00  4.00000E+00  0.00000E+00  0.00000E+00
 27 Co  9 M5 3d5/2  3  1.36768E+01  9.00000E+00  4.00000E+00  0.00000E+00  0.00000E+00
 27 Co 10 N1 4s1/2  2  7.81522E+00  7.86400E+00  2.86400E+00  0.00000E+00  0.00000E+00
 28 Ni  1 K  1s1/2  2  8.30300E+03  8.33800E+03  8.33300E+03  1.33416E+00  1.39000E+00
 28 Ni  2 L1 2s1/2  2  1.00652E+03  1.01500E+03  1.00860E+03  8.51465E+00  6.40000E+00
 28 Ni  3 L2 2p1/2  2  8.85022E+02  8.77000E+02  8.70000E+02  5.25197E-01  9.80000E-01
 28 Ni  4 L3 2p3/2  4  8.66956E+02  8.60000E+02  8.52700E+02  5.32806E-01  5.30000E-01
 28 Ni  5 M1 3s1/2  2  1.18667E+02  1.17000E+02  1.10800E+02  4.24752E+00  2.30000E+00
 28 Ni  6 M2 3p1/2  2  8.05022E+01  7.50000E+01  6.80000E+01  2.54097E+00  1.30000E+00
 28 Ni  7 M3 3p3/2  4  7.81864E+01  7.30000E+01  6.62000E+01  2.44746E+00  1.30000E+00
 28 Ni  8 M4 3d3/2  4  1.49009E+01  1.00000E+01  4.80000E+00  0.00000E+00  0.00000E+00
 28 Ni  9 M5 3d5/2  4  1.46272E+01  1.00000E+01  4.80000E+00  0.00000E+00  0.00000E+00
 28 Ni 10 N1 4s1/2  2  8.08866E+00  7.63500E+00  2.43500E+00  0.00000E+00  0.00000E+00
 29 Cu  1 K  1s1/2  2  8.94348E+03  8.98600E+03  8.97900E+03  1.43703E+00  1.49000E+00
 29 Cu  2 L1 2s1/2  2  1.08624E+03  1.10300E+03  1.09670E+03  9.13115E+00  5.50000E+00
 29 Cu  3 L2 2p1/2  2  9.58642E+02  9.58000E+02  9.52300E+02  5.98646E-01  1.04000E+00
 29 Cu  4 L3 2p3/2  4  9.37492E+02  9.38000E+02  9.32620E+02  6.13478E-01  6.10000E-01
 29 Cu  5 M1 3s1/2  2  1.21315E+02  1.27000E+02  1.22500E+02  4.72623E+00  2.20000E+00
 29 Cu  6 M2 3p1/2  2  8.05515E+01  8.20000E+01  7.73000E+01  3.56159E+00  1.90000E+00
 29 Cu  7 M3 3p3/2  4  7.78614E+01  8.00000E+01  7.51000E+01  3.45798E+00  1.80000E+00
 29 Cu  8 M4 3d3/2  4  1.00950E+01  1.10000E+01  6.29000E+00  0.00000E+00  0.00000E+00
 29 Cu  9 M5 3d5/2  6  9.78758E+00  1.04000E+01  5.69000E+00  0.00000E+00  0.00000E+00
 29 Cu 10 N1 4s1/2  1  7.11505E+00  7.72600E+00  3.01600E+00  0.00000E+00  0.00000E+00
 30 Zn  1 K  1s1/2  2  9.62266E+03  9.66300E+03  9.65900E+03  1.55987E+00  1.62000E+00
 30 Zn  2 L1 2s1/2  2  1.18452E+03  1.19800E+03  1.19620E+03  9.50179E+00  4.80000E+00
 30 Zn  3 L2 2p1/2  2  1.05060E+03  1.04700E+03  1.04490E+03  6.72350E-01  1.06000E+00
 30 Zn  4 L3 2p3/2  4  1.02600E+03  1.02400E+03  1.02180E+03  6.84436E-01  6.80000E-01
 30 Zn  5 M1 3s1/2  2  1.37485E+02  1.41000E+02  1.39800E+02  4.75793E+00  2.10000E+00
 30 Zn  6 M2 3p1/2  2  9.37867E+01  9.40000E+01  9.14000E+01  3.77041E+00  2.10000E+00
 30 Zn  7 M3 3p3/2  4  9.05887E+01  9.10000E+01  8.86000E+01  3.61880E+00  2.15000E+00
 30 Zn  8 M4 3d3/2  4  1.68439E+01  1.20000E+01  1.02000E+01  0.00000E+00  0.00000E+00
 30 Zn  9 M5 3d5/2  6  1.64427E+01  1.12000E+01  1.01000E+01  0.00000E+00  0.00000E+00
 30 Zn 10 N1 4s1/2  2  8.61896E+00  9.39400E+00  5.19400E+00  0.00000E+00  0.00000E+00
 31 Ga  1 K  1s1/2  2  1.03313E+04  1.03710E+04  1.03670E+04  1.69577E+00  1.76000E+00
 31 Ga  2 L1 2s1/2  2  1.29077E+03  1.30200E+03  1.29900E+03  8.70635E+00  4.10000E+00
 31 Ga  3 L2 2p1/2  2  1.15043E+03  1.14600E+03  1.14320E+03  7.55148E-01  7.70000E-01
 31 Ga  4 L3 2p3/2  4  1.12196E+03  1.11900E+03  1.11640E+03  7.61495E-01  7.70000E-01
 31 Ga  5 M1 3s1/2  2  1.57725E+02  1.62000E+02  1.59500E+02  4.45704E+00  2.00000E+00
 31 Ga  6 M2 3p1/2  2  1.10986E+02  1.11000E+02  1.03500E+02  3.92603E+00  2.25000E+00
 31 Ga  7 M3 3p3/2  4  1.07198E+02  1.07000E+02  1.00000E+02  3.71502E+00  2.30000E+00
 31 Ga  8 M4 3d3/2  4  2.72873E+01  2.10000E+01  1.87000E+01  1.29661E-02  1.20000E-02
 31 Ga  9 M5 3d5/2  6  2.67740E+01  2.00000E+01  1.87000E+01  0.00000E+00  0.00000E+00
 31 Ga 10 N1 4s1/2  2  1.16508E+01  9.33300E+00  5.01300E+00  0.00000E+00  0.00000E+00
 31 Ga 11 N2 4p1/2  1  4.97738E+00  9.33300E+00  5.01300E+00  0.00000E+00  0.00000E+00
 32 Ge  1 K  1s1/2  2  1.10666E+04  1.11070E+04  1.11030E+04  1.84630E+00  1.92000E+00
 32 Ge  2 L1 2s1/2  2  1.40224E+03  1.41300E+03  1.41460E+03  8.71125E+00  3.80000E+00
 32 Ge  3 L2 2p1/2  2  1.25537E+03  1.25100E+03  1.24810E+03  8.41625E-01  8.60000E-01
 32 Ge  4 L3 2p3/2  4  1.22261E+03  1.22000E+03  1.21700E+03  8.40206E-01  8.60000E-01
 32 Ge  5 M1 3s1/2  2  1.79136E+02  1.84000E+02  1.80100E+02  4.13435E+00  2.10000E+00
 32 Ge  6 M2 3p1/2  2  1.29268E+02  1.30000E+02  1.24900E+02  3.99085E+00  2.30000E+00
 32 Ge  7 M3 3p3/2  4  1.24799E+02  1.25000E+02  1.20800E+02  3.71414E+00  2.30000E+00
 32 Ge  8 M4 3d3/2  4  3.86433E+01  3.30000E+01  2.93600E+01  4.51944E-02  4.50000E-02
 32 Ge  9 M5 3d5/2  6  3.79988E+01  3.20000E+01  2.92000E+01  4.35613E-02  4.00000E-02
 32 Ge 10 N1 4s1/2  2  1.46854E+01  1.43000E+01  9.30000E+00  0.00000E+00  0.00000E+00
 32 Ge 11 N2 4p1/2  2  6.43829E+00  7.90000E+00  2.90000E+00  0.00000E+00  0.00000E+00
 33 As  1 K  1s1/2  2  1.18291E+04  1.18710E+04  1.18670E+04  2.01251E+00  2.09000E+00
 33 As  2 L1 2s1/2  2  1.51917E+03  1.53100E+03  1.52700E+03  7.85102E+00  3.80000E+00
 33 As  3 L2 2p1/2  2  1.36568E+03  1.36200E+03  1.35910E+03  9.34439E-01  9.50000E-01
 33 As  4 L3 2p3/2  4  1.32813E+03  1.32700E+03  1.32360E+03  9.21098E-01  9.40000E-01
 33 As  5 M1 3s1/2  2  2.01945E+02  2.08000E+02  2.04700E+02  3.96016E+00  2.40000E+00
 33 As  6 M2 3p1/2  2  1.48873E+02  1.51000E+02  1.46200E+02  3.94907E+00  2.25000E+00
 33 As  7 M3 3p3/2  4  1.43625E+02  1.45000E+02  1.41200E+02  3.62765E+00  2.25000E+00
 33 As  8 M4 3d3/2  4  5.11699E+01  4.60000E+01  4.16200E+01  5.78560E-02  5.80000E-02
 33 As  9 M5 3d5/2  6  5.03732E+01  4.50000E+01  4.17000E+01  5.95170E-02  6.00000E-02
 33 As 10 N1 4s1/2  2  1.77902E+01  1.70000E+01  1.32500E+01  0.00000E+00  0.00000E+00
 33 As 11 N2 4p1/2  2  8.06786E+00  9.81000E+00  6.06000E+00  0.00000E+00  0.00000E+00
 33 As 12 N3 4p3/2  1  7.75120E+00  9.81000E+00  6.06000E+00  0.00000E+00  0.00000E+00
 34 Se  1 K  1s1/2  2  1.26187E+04  1.26620E+04  1.26580E+04  2.19551E+00  2.28000E+00
 34 Se  2 L1 2s1/2  2  1.64151E+03  1.65600E+03  1.65200E+03  8.04040E+00  3.80000E+00
 34 Se  3 L2 2p1/2  2  1.48129E+03  1.47900E+03  1.47430E+03  1.02918E+00  1.05000E+00
 34 Se  4 L3 2p3/2  4  1.43845E+03  1.43900E+03  1.43390E+03  1.00330E+00  1.02000E+00
 34 Se  5 M1 3s1/2  2  2.26070E+02  2.34000E+02  2.29600E+02  4.22998E+00  2.80000E+00
 34 Se  6 M2 3p1/2  2  1.69727E+02  1.73000E+02  1.66500E+02  3.86349E+00  2.20000E+00
